onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.002	5.139	ITI	Fixation+	0	No_Pain	n/a	9.229	n/a	n/a	29.754
5.158	3.498	Pic2	Picture	0	No_Pain	24	5.714	n/a	n/a	34.91
8.656	2.006	Blank	Blank	0	No_Pain	n/a	3.708	n/a	n/a	38.408
14.37	n/a	ConfirmRating	Rate	0	No_Pain	24	n/a	3.191	0	44.122
14.392	4.228	ITI	Fixation+	1	No_Pain	n/a	7.854	n/a	n/a	44.144
18.637	3.498	Pic2	Picture	1	No_Pain	25	4.339	n/a	n/a	48.388
22.135	2.006	Blank	Blank	1	No_Pain	n/a	2.333	n/a	n/a	51.886
26.474	n/a	ConfirmRating	Rate	1	No_Pain	25	n/a	1.817	0	56.225
26.495	5.289	ITI	Fixation+	2	Pain	n/a	11.433	n/a	n/a	56.247
31.8	3.498	Pic2	Picture	2	Pain	19	7.918	n/a	n/a	61.552
35.298	2.006	Blank	Blank	2	Pain	n/a	5.912	n/a	n/a	65.05
43.217	n/a	ConfirmRating	Rate	2	Pain	19	n/a	5.396	55	72.968
43.24	5.355	ITI	Fixation+	3	No_Pain	n/a	9.721	n/a	n/a	72.991
48.611	3.498	Pic2	Picture	3	No_Pain	37	6.206	n/a	n/a	78.363
52.109	2.006	Blank	Blank	3	No_Pain	n/a	4.2	n/a	n/a	81.861
58.315	n/a	ConfirmRating	Rate	3	No_Pain	37	n/a	3.684	0	88.067
58.343	5.189	ITI	Fixation+	4	Pain	n/a	10.054	n/a	n/a	88.094
63.549	3.498	Pic2	Picture	4	Pain	2	6.539	n/a	n/a	93.3
67.047	2.006	Blank	Blank	4	Pain	n/a	4.533	n/a	n/a	96.798
73.586	n/a	ConfirmRating	Rate	4	Pain	2	n/a	4.017	55	103.338
73.612	5.803	ITI	Fixation+	5	No_Pain	n/a	8.178	n/a	n/a	103.364
79.431	3.498	Pic2	Picture	5	No_Pain	26	4.664	n/a	n/a	109.183
82.929	2.006	Blank	Blank	5	No_Pain	n/a	2.658	n/a	n/a	112.681
87.593	n/a	ConfirmRating	Rate	5	No_Pain	26	n/a	2.141	3	117.345
87.621	4.393	ITI	Fixation+	6	Pain	n/a	9.471	n/a	n/a	117.373
92.031	3.498	Pic2	Picture	6	Pain	12	5.957	n/a	n/a	121.783
95.529	2.006	Blank	Blank	6	Pain	n/a	3.951	n/a	n/a	125.281
101.486	n/a	ConfirmRating	Rate	6	Pain	12	n/a	3.434	61	131.237
101.514	4.907	ITI	Fixation+	7	Pain	n/a	9.546	n/a	n/a	131.266
106.438	3.498	Pic2	Picture	7	Pain	3	6.031	n/a	n/a	136.19
109.936	2.006	Blank	Blank	7	Pain	n/a	4.025	n/a	n/a	139.688
115.968	n/a	ConfirmRating	Rate	7	Pain	3	n/a	3.509	56	145.719
115.988	5.968	ITI	Fixation+	8	No_Pain	n/a	8.556	n/a	n/a	145.739
121.972	3.498	Pic2	Picture	8	No_Pain	30	5.041	n/a	n/a	151.724
125.471	2.006	Blank	Blank	8	No_Pain	n/a	3.035	n/a	n/a	155.222
130.512	n/a	ConfirmRating	Rate	8	No_Pain	30	n/a	2.519	0	160.263
130.544	5.056	ITI	Fixation+	9	Pain	n/a	8.452	n/a	n/a	160.295
135.617	3.498	Pic2	Picture	9	Pain	4	4.937	n/a	n/a	165.368
139.115	2.006	Blank	Blank	9	Pain	n/a	2.931	n/a	n/a	168.866
144.052	n/a	ConfirmRating	Rate	9	Pain	4	n/a	2.414	58	173.804
144.072	4.145	ITI	Fixation+	10	No_Pain	n/a	8.045	n/a	n/a	173.823
148.233	3.498	Pic2	Picture	10	No_Pain	28	4.531	n/a	n/a	177.985
151.731	2.006	Blank	Blank	10	No_Pain	n/a	2.525	n/a	n/a	181.483
156.262	n/a	ConfirmRating	Rate	10	No_Pain	28	n/a	2.008	0	186.014
156.291	5.305	ITI	Fixation+	11	Pain	n/a	9.24	n/a	n/a	186.042
161.612	3.498	Pic2	Picture	11	Pain	13	5.725	n/a	n/a	191.364
165.111	2.006	Blank	Blank	11	Pain	n/a	3.719	n/a	n/a	194.862
170.836	n/a	ConfirmRating	Rate	11	Pain	13	n/a	3.203	56	200.587
170.863	5.819	ITI	Fixation+	12	No_Pain	n/a	8.128	n/a	n/a	200.615
176.699	3.498	Pic2	Picture	12	No_Pain	32	4.613	n/a	n/a	206.451
180.197	2.006	Blank	Blank	12	No_Pain	n/a	2.607	n/a	n/a	209.949
184.811	n/a	ConfirmRating	Rate	12	No_Pain	32	n/a	2.091	0	214.562
184.839	4.576	ITI	Fixation+	13	Pain	n/a	11.842	n/a	n/a	214.591
189.432	3.498	Pic2	Picture	13	Pain	5	8.328	n/a	n/a	219.183
192.93	2.006	Blank	Blank	13	Pain	n/a	6.322	n/a	n/a	222.681
201.257	n/a	ConfirmRating	Rate	13	Pain	5	n/a	5.805	54	231.009
201.286	5.056	ITI	Fixation+	14	No_Pain	n/a	7.607	n/a	n/a	231.037
206.359	3.498	Pic2	Picture	14	No_Pain	21	4.093	n/a	n/a	236.11
209.857	2.006	Blank	Blank	14	No_Pain	n/a	2.087	n/a	n/a	239.608
213.949	n/a	ConfirmRating	Rate	14	No_Pain	21	n/a	1.57	0	243.701
213.968	4.543	ITI	Fixation+	15	No_Pain	n/a	8.371	n/a	n/a	243.72
218.527	3.498	Pic2	Picture	15	No_Pain	38	4.857	n/a	n/a	248.279
222.025	2.006	Blank	Blank	15	No_Pain	n/a	2.851	n/a	n/a	251.777
226.882	n/a	ConfirmRating	Rate	15	No_Pain	38	n/a	2.334	0	256.634
226.9	4.775	ITI	Fixation+	16	Pain	n/a	6.956	n/a	n/a	256.651
231.691	3.498	Pic2	Picture	16	Pain	16	3.441	n/a	n/a	261.442
235.189	2.006	Blank	Blank	16	Pain	n/a	1.435	n/a	n/a	264.941
238.63	n/a	ConfirmRating	Rate	16	Pain	16	n/a	0.918	30	268.382
238.654	5.968	ITI	Fixation+	17	No_Pain	n/a	8.662	n/a	n/a	268.406
244.639	3.498	Pic2	Picture	17	No_Pain	22	5.148	n/a	n/a	274.39
248.137	2.006	Blank	Blank	17	No_Pain	n/a	3.142	n/a	n/a	277.889
253.285	n/a	ConfirmRating	Rate	17	No_Pain	22	n/a	2.625	0	283.036
253.31	5.206	ITI	Fixation+	18	Pain	n/a	9.796	n/a	n/a	283.061
258.532	3.498	Pic2	Picture	18	Pain	8	6.281	n/a	n/a	288.284
262.03	2.006	Blank	Blank	18	Pain	n/a	4.275	n/a	n/a	291.782
268.311	n/a	ConfirmRating	Rate	18	Pain	8	n/a	3.759	31	298.063
268.33	5.554	ITI	Fixation+	19	Pain	n/a	11.141	n/a	n/a	298.082
273.901	3.498	Pic2	Picture	19	Pain	1	7.626	n/a	n/a	303.652
277.399	2.006	Blank	Blank	19	Pain	n/a	5.62	n/a	n/a	307.15
285.025	n/a	ConfirmRating	Rate	19	Pain	1	n/a	5.104	42	314.777
285.058	15.004	Rest	n/a	19	n/a	n/a	-15.037	n/a	n/a	314.81
300.079	4.791	ITI	Fixation+	20	No_Pain	n/a	8.712	n/a	n/a	329.83
304.886	3.498	Pic2	Picture	20	No_Pain	23	5.197	n/a	n/a	334.638
308.385	2.006	Blank	Blank	20	No_Pain	n/a	3.191	n/a	n/a	338.136
313.582	n/a	ConfirmRating	Rate	20	No_Pain	23	n/a	2.675	1	343.333
313.607	4.874	ITI	Fixation+	21	Pain	n/a	8.245	n/a	n/a	343.358
318.498	3.498	Pic2	Picture	21	Pain	10	4.73	n/a	n/a	348.249
321.996	2.006	Blank	Blank	21	Pain	n/a	2.724	n/a	n/a	351.747
326.726	n/a	ConfirmRating	Rate	21	Pain	10	n/a	2.208	37	356.477
326.754	4.808	ITI	Fixation+	22	No_Pain	n/a	8.232	n/a	n/a	356.505
331.578	3.498	Pic2	Picture	22	No_Pain	36	4.717	n/a	n/a	361.33
335.076	2.006	Blank	Blank	22	No_Pain	n/a	2.711	n/a	n/a	364.828
339.793	n/a	ConfirmRating	Rate	22	No_Pain	36	n/a	2.195	0	369.545
339.818	5.355	ITI	Fixation+	23	Pain	n/a	9.065	n/a	n/a	369.57
345.189	3.498	Pic2	Picture	23	Pain	11	5.551	n/a	n/a	374.941
348.688	2.006	Blank	Blank	23	Pain	n/a	3.545	n/a	n/a	378.439
354.238	n/a	ConfirmRating	Rate	23	Pain	11	n/a	3.028	46	383.99
354.258	5.637	ITI	Fixation+	24	Pain	n/a	7.745	n/a	n/a	384.01
359.911	3.498	Pic2	Picture	24	Pain	17	4.23	n/a	n/a	389.663
363.41	2.006	Blank	Blank	24	Pain	n/a	2.224	n/a	n/a	393.161
367.64	n/a	ConfirmRating	Rate	24	Pain	17	n/a	1.708	67	397.392
367.67	5.073	ITI	Fixation+	25	No_Pain	n/a	7.825	n/a	n/a	397.422
372.76	3.498	Pic2	Picture	25	No_Pain	31	4.311	n/a	n/a	402.512
376.258	2.006	Blank	Blank	25	No_Pain	n/a	2.305	n/a	n/a	406.01
380.569	n/a	ConfirmRating	Rate	25	No_Pain	31	n/a	1.788	0	410.32
380.602	5.62	ITI	Fixation+	26	Pain	n/a	8.871	n/a	n/a	410.353
386.239	3.498	Pic2	Picture	26	Pain	18	5.357	n/a	n/a	415.99
389.737	2.006	Blank	Blank	26	Pain	n/a	3.351	n/a	n/a	419.488
395.094	n/a	ConfirmRating	Rate	26	Pain	18	n/a	2.835	37	424.845
395.125	4.576	ITI	Fixation+	27	No_Pain	n/a	8.24	n/a	n/a	424.876
399.717	3.498	Pic2	Picture	27	No_Pain	33	4.725	n/a	n/a	429.469
403.215	2.006	Blank	Blank	27	No_Pain	n/a	2.719	n/a	n/a	432.967
407.94	n/a	ConfirmRating	Rate	27	No_Pain	33	n/a	2.203	0	437.692
407.974	5.488	ITI	Fixation+	28	No_Pain	n/a	8.259	n/a	n/a	437.725
413.478	3.498	Pic2	Picture	28	No_Pain	40	4.744	n/a	n/a	443.229
416.976	2.006	Blank	Blank	28	No_Pain	n/a	2.738	n/a	n/a	446.727
421.72	n/a	ConfirmRating	Rate	28	No_Pain	40	n/a	2.222	1	451.472
421.75	5.786	ITI	Fixation+	29	Pain	n/a	8.772	n/a	n/a	451.502
427.553	3.498	Pic2	Picture	29	Pain	20	5.257	n/a	n/a	457.305
431.051	2.006	Blank	Blank	29	Pain	n/a	3.251	n/a	n/a	460.803
436.308	n/a	ConfirmRating	Rate	29	Pain	20	n/a	2.734	45	466.06
436.34	4.907	ITI	Fixation+	30	No_Pain	n/a	8.543	n/a	n/a	466.091
441.264	3.498	Pic2	Picture	30	No_Pain	27	5.028	n/a	n/a	471.015
444.762	2.006	Blank	Blank	30	No_Pain	n/a	3.022	n/a	n/a	474.513
449.79	n/a	ConfirmRating	Rate	30	No_Pain	27	n/a	2.505	0	479.541
449.818	4.211	ITI	Fixation+	31	Pain	n/a	9.371	n/a	n/a	479.57
454.046	3.498	Pic2	Picture	31	Pain	14	5.857	n/a	n/a	483.798
457.544	2.006	Blank	Blank	31	Pain	n/a	3.851	n/a	n/a	487.296
463.401	n/a	ConfirmRating	Rate	31	Pain	14	n/a	3.334	40	493.152
463.43	4.161	ITI	Fixation+	32	Pain	n/a	7.435	n/a	n/a	493.181
467.607	3.498	Pic2	Picture	32	Pain	9	3.92	n/a	n/a	497.359
471.106	2.006	Blank	Blank	32	Pain	n/a	1.914	n/a	n/a	500.857
475.025	n/a	ConfirmRating	Rate	32	Pain	9	n/a	1.398	12	504.777
475.051	4.311	ITI	Fixation+	33	No_Pain	n/a	8.025	n/a	n/a	504.803
479.378	3.498	Pic2	Picture	33	No_Pain	39	4.511	n/a	n/a	509.13
482.877	2.006	Blank	Blank	33	No_Pain	n/a	2.505	n/a	n/a	512.628
487.387	n/a	ConfirmRating	Rate	33	No_Pain	39	n/a	1.988	0	517.139
487.419	5.388	ITI	Fixation+	34	No_Pain	n/a	8.326	n/a	n/a	517.171
492.824	3.498	Pic2	Picture	34	No_Pain	29	4.811	n/a	n/a	522.575
496.322	2.006	Blank	Blank	34	No_Pain	n/a	2.805	n/a	n/a	526.073
501.133	n/a	ConfirmRating	Rate	34	No_Pain	29	n/a	2.288	0	530.885
501.163	4.659	ITI	Fixation+	35	Pain	n/a	10.329	n/a	n/a	530.914
505.838	3.498	Pic2	Picture	35	Pain	6	6.815	n/a	n/a	535.59
509.336	2.006	Blank	Blank	35	Pain	n/a	4.809	n/a	n/a	539.088
516.151	n/a	ConfirmRating	Rate	35	Pain	6	n/a	4.292	33	545.902
516.183	4.692	ITI	Fixation+	36	No_Pain	n/a	7.816	n/a	n/a	545.935
520.892	3.498	Pic2	Picture	36	No_Pain	35	4.301	n/a	n/a	550.643
524.39	2.006	Blank	Blank	36	No_Pain	n/a	2.295	n/a	n/a	554.141
528.691	n/a	ConfirmRating	Rate	36	No_Pain	35	n/a	1.778	0	558.442
528.717	4.145	ITI	Fixation+	37	No_Pain	n/a	8.408	n/a	n/a	558.468
532.878	3.498	Pic2	Picture	37	No_Pain	34	4.893	n/a	n/a	562.63
536.376	2.006	Blank	Blank	37	No_Pain	n/a	2.887	n/a	n/a	566.128
541.269	n/a	ConfirmRating	Rate	37	No_Pain	34	n/a	2.371	0	571.021
541.3	4.576	ITI	Fixation+	38	Pain	n/a	9.101	n/a	n/a	571.052
545.893	3.498	Pic2	Picture	38	Pain	15	5.587	n/a	n/a	575.644
